song,performer,count,year
Come Softly To Me,The New Seekers,3,1973
Pinball,Brian Protheroe,7,1975
Don't Cry Joni,Conway Twitty with Joni Lee,2,1975
That's When I Think Of You,1927,1,1989
Ta Da,Lil' Mo,7,2000
Bring Out The Freak In You,Lil Rob,7,2006
Anything Goes,Randy Houser,4,2008
Regret,LeToya Featuring Ludacris,8,2009
Someone Else Calling You Baby,Luke Bryan,7,2010
Crying On A Suitcase,Casey James,9,2013
Dance Like We're Making Love,Ciara,1,2015
Best Friend,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",5,2018
Broken Clocks,SZA,4,2018
Cozy Little Christmas,Katy Perry,1,2019
I Wanna Be Down,Brandy,14,1995
Finally,CeCe Peniston,19,1992
Lose My Breath,Destiny's Child,9,2005
Good Life,Kanye West Featuring T-Pain,7,2008
Money In The Bank,Lil Scrappy Featuring Young Buck,6,2007
Love Me Tomorrow,Chicago,1,1983
Let's Go,Trick Daddy Featuring Lil Jon & Twista,7,2005
Gangnam Style,PSY,16,2013
Just To Be Close To You,Commodores,1,1977
How 'Bout Them Cowgirls,George Strait,5,2008
Larger Than Life,Backstreet Boys,4,2000
Lyin' To Myself,David Cassidy,1,1991
I'm So Excited,The Pointer Sisters,1,1983
Hate That I Love You,Rihanna Featuring Ne-Yo,10,2008
Honey,Mariah Carey,4,1998
Liar,Profyle,4,2001
Fireflies,Owl City,14,2010
How Can I Fall?,Breathe,5,1989
I Can See Clearly Now,Johnny Nash,3,1973
I Love You,Martina McBride,2,2000
Little Lion Man,Mumford & Sons,4,2011
Gettin' You Home,Chris Young,2,2010
Headlines,Drake,6,2012
I'm Sprung,T-Pain,7,2006
I Go Crazy,Paul Davis,21,1978
I've Done Everything For You,Rick Springfield,3,1982
Giving You The Benefit,Pebbles,2,1991
Love Bites,Def Leppard,2,1989
My Happy Ending,Avril Lavigne,3,2005
Hard Habit To Break,Chicago,3,1985
Gold Digger,Kanye West Featuring Jamie Foxx,16,2006
Lips Of An Angel,Hinder,10,2007
Never Lie,Immature,3,1995
Jump Around,House Of Pain,3,1993
Fallin',Alicia Keys,5,2002
One Last Breath,Creed,4,2003
Hot Child In The City,Nick Gilder,1,1979
Missing You,Steve Perry,1,1995
But I Do,Bobby Vinton,5,1973
Seven Letters,Ben E. King,5,1965
Day Tripper,Ramsey Lewis,2,1967
Don't Cry Joni,Conway Twitty with Joni Lee,5,1976
Chitty Chitty Bang Bang,Paul Mauriat,2,1969
Don't Tell Me The Time,Martha Davis,2,1988
Forever Mine,The Motels,1,1983
Dance With Me,112,4,2002
Animals,Maroon 5,16,2015
Butta Love,Next,6,1998
Soul Survivor,Young Jeezy Featuring Akon,6,2006
Pompeii,Bastille,35,2014
Again,Fetty Wap,8,2016
Comedown,Bush,2,1996
That's What It's All About,Brooks & Dunn,2,2005
Please Don't Go,KC And The Sunshine Band,7,1980
Run It!,Chris Brown,19,2006
Be Near Me,ABC,3,1986
1st Of Tha Month,Bone Thugs-N-Harmony,1,1996
Case Of The Ex (Whatcha Gonna Do),Mya,10,2001
Starving,Hailee Steinfeld & Grey Featuring Zedd,9,2017
Stewball,"Peter, Paul & Mary",2,1964
Promised Land,Chuck Berry,4,1965
A Perfect Love,Frankie Avalon,2,1961
A Fool Such As I,Bob Dylan,4,1974
Devil You,Stampeders,3,1972
Breakfast For Two,Country Joe McDonald,2,1976
Picture Postcards From L.A.,Joshua Kadison,1,1995
Tonight,The Whispers,4,1983
Too Little Too Late,JoJo,18,2006
Too Little Too Late,JoJo,4,2007
Too Many Rules,Connie Francis,2,1961
Too Much Time On My Hands,Styx,19,1981
Too Much,Tara Kemp,2,1991
Topanga,Trippie Redd,5,2018
Torture,Kris Jensen,14,1962
Totally Hot,Olivia Newton-John,6,1979
Touch Me (I Want Your Body),Samantha Fox,14,1987
Touch Me,The Doors,12,1969
Tour,Capleton,14,1995
Trading Places,Usher,7,2008
Trains And Boats And Planes,Dionne Warwick,7,1966
Travelin' Shoes,Elvin Bishop,6,1974
Trouble In Paradise,Jarreau,7,1983
Trouble,Iggy Azalea Featuring Jennifer Hudson,5,2015
Troublemaker,Olly Murs Featuring Flo Rida,20,2013
Truckin',Grateful Dead,5,1971
True Faith,New Order,8,1988
True Love Never Runs Smooth,Gene Pitney,11,1963
TRUE,Spandau Ballet,18,1983
Try A Little Tenderness,Otis Redding,5,1966
Try Me,James Brown At The Organ,2,1966
Trying To Hold On To My Woman,Lamont Dozier,2,1973
Trying To Hold On To My Woman,Lamont Dozier,16,1974
TTYLXOX,Bella Thorne,2,2012
Turn Around And Love You,Rita Coolidge,1,1969
Turn Back The Pages,Stephen Stills,3,1975
Turn It Up [Remix]/Fire It Up,Busta Rhymes,20,1998
Turn It Up,Chamillionaire Featuring Lil' Flip,9,2005
Turn On Your Love Light,Bobby Bland,6,1962
Turn The Beat Around,Vicki Sue Robinson,25,1976
Turn To You,Go-Go's,14,1984
Twilight Zone,Golden Earring,5,1982
Twisted Transistor,Korn,6,2005
Twisted,Keith Sweat,10,1997
Twistin' With Linda,The Isley Brothers,9,1962
Two Faces Have I,Lou Christie,15,1963
Two Lovers,Mary Wells,8,1963
Two Sides Of Love,Sammy Hagar,12,1984
U Don't Know Me (Like U Used To),Brandy,6,1999
U Saved Me,R. Kelly,16,2004
Ugly,Bubba Sparxxx,18,2001
Un-Break My Heart,Toni Braxton,32,1997
Unbelievable,Diamond Rio,18,1999
Unbreakable,Alicia Keys,5,2006
Unchained Melody,The Righteous Brothers,12,1991
Under The Bridge,Red Hot Chili Peppers,26,1992
Underneath It All,No Doubt Featuring Lady Saw,12,2003
United Together,Aretha Franklin,7,1981
Universal Mind Control,Common Featuring Pharrell,4,2009
Until It's Time For You To Go,The New Birth,3,1973
Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,6,1973
Unwell,matchbox twenty,41,2003
Unwind,Ray Stevens,9,1968
Up A Lazy River,Si Zentner And His Orchestra,3,1962
Up Above My Head (I Hear Music In The Air),Al (He's the King) Hirt,5,1964
Up Down (Do This All Day),T-Pain Featuring B.o.B,16,2014
Up The Ladder To The Roof,The Supremes,11,1970
"Up Tight, Good Man",Laura Lee,2,1967
Uproar,Lil Wayne,8,2019
Upsetter,Grand Funk Railroad,5,1972
Upside Down,Diana Ross,4,1981
Uptight (Everything's Alright),Stevie Wonder,2,1965
Use Somebody,Kings Of Leon,11,2010
Used To Be,Charlene & Stevie Wonder,9,1982
Valley Of The Dolls,King Curtis & The Kingpins,2,1968
Valotte,Julian Lennon,8,1985
Vanity Kills,ABC,4,1986
Venus,Frankie Avalon,11,1976
Venus,Lady Gaga,1,2013
Victory,Kool & The Gang,9,1986
Ville Mentality,J. Cole,1,2017
Vivir Mi Vida,Marc Anthony,5,2013
Volare (Nel Blu Dipinto Di Blu),Dean Martin,13,1958
Wait (The Whisper Song),Ying Yang Twins,22,2005
Waiting For Superman,Daughtry,12,2014
Waiting For The End,Linkin Park,13,2011
Waiting For Tonight,Jennifer Lopez,11,1999
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,18,2010
Wake Me Up Before You Go-Go,Wham!,7,1985
Snow ((Hey Oh)),Red Hot Chili Peppers,15,2007
Cupid,Johnny Nash,6,1970
Shout It Out Loud,KISS,5,1978
Better Than I Used To Be,Tim McGraw,19,2012
Anything Goes,Florida Georgia Line,17,2015
Reality,Kenny Chesney,13,2012
Beautiful Drug,Zac Brown Band,17,2016
Superstar,Murray Head With The Trinidad Singers,24,1971
Diced Pineapples,Rick Ross Featuring Wale & Drake,5,2013
Stand By Me,Ben E. King,13,1986
Skin (Sarabeth),Rascal Flatts,3,2006
Radioactive,Imagine Dragons,52,2013
Raspberry Beret,Prince And The Revolution,1,2016
(It's Just) The Way That You Love Me,Paula Abdul,5,1990
Don't Wake Me Up,Chris Brown,3,2013
"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,12,1993
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,2,2010
Roman's Revenge,Nicki Minaj Featuring Eminem,4,2011
Searching,Jack Eubanks,2,1962
Tennessee Whiskey,Chris Stapleton,2,2016
All I Want For Christmas Is You,Mariah Carey,3,2014
Beautiful Crazy,Luke Combs,25,2019
Burn,Ellie Goulding,21,2014
Bubbly,Colbie Caillat,22,2008
All I Want For Christmas Is You,Mariah Carey,6,2018
The Fonz Song,The Heyettes,6,1976
The Football Card,Glenn Sutton,5,1979
"The Future's So Bright, I Gotta Wear Shades",Timbuk 3,10,1986
The Girl Most Likely,Jeannie C. Riley,2,1969
The Green Leaves Of Summer,Kenny Ball and his Jazzmen,6,1962
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,14,2015
The Happy Girls,Helen Reddy,7,1977
The Heart Part 4,Kendrick Lamar,2,2017
The Last Worthless Evening,Don Henley,5,1990
The Letter,The Arbors,10,1969
The Little Black Egg,The Nightcrawlers,4,1967
The Little Drummer Boy,Johnny Cash,2,1959
The Little Drummer Boy,Moonlion,1,1976
The Lonely Crowd,Teddy Vann,4,1961
The Longer You Wait,Gino Vannelli,3,1982
The Look Of Love,Dusty Springfield,15,1967
The Look Of Love,Sergio Mendes & Brasil '66,14,1968
The Love Parade,The Dream Academy,11,1986
The Man That Turned My Mama On,Tanya Tucker,4,1974
The Man Who Can't Be Moved,Xenia,1,2011
The Mayor Of Simpleton,XTC,6,1989
The Message,Grandmaster Flash,7,1982
The Moment I Knew,Taylor Swift,1,2013
The Most Beautifullest Thing In This World,Keith Murray,7,1995
The Mouse,Soupy Sales,6,1965
The One On The Right Is On The Left,Johnny Cash,6,1966
The One,Gary Allan,20,2002
The People In Me,The Music Machine,8,1967
The Popeye Waddle,Don Covay,1,1962
The Power Of Gold,Dan Fogelberg/Tim Weisberg,2,1979
The Pride (Part I),The Isley Brothers,7,1977
The Prophecy Of Daniel and John The Divine (Six-Six-Six),The Cowsills,4,1969
The Real Love,Bob Seger & The Silver Bullet Band,11,1991
The Revolution Kind,Sonny,4,1965
The Seashores Of Old Mexico,George Strait,7,2006
The Show Goes On,Lupe Fiasco,31,2011
"The Sidewinder, Part 1",Lee Morgan,2,1965
The Sound Of Music,Patti Page,2,1960
When You Talk About Love,Patti LaBelle,12,1997
When You're Mad,Ne-Yo,20,2006
When You're Young And In Love,The Choice Four,4,1975
When You're Young And In Love,The Marvelettes,10,1967
"Whenever I Call You ""Friend""",Kenny Loggins,20,1978
Whenever I'm Away From You,John Travolta,6,1976
Where Are U Now,Skrillex & Diplo With Justin Bieber,4,2016
Where Are You Now?,Jimmy Harnen With Synch,12,1986
Where Do Broken Hearts Go,Whitney Houston,18,1988
Where Ever You Are,Terry Ellis,11,1996
Where Have All Our Heroes Gone,Bill Anderson,3,1970
Where I Come From,Alan Jackson,19,2001
Where Is The Love,Roberta Flack & Donny Hathaway,13,1972
Wherever You Are,Jack Ingram,13,2006
Whip Appeal,Babyface,18,1990
Whipped Cream,Herb Alpert's Tijuana Brass,10,1965
Whisper,Chase Rice,1,2016
Whispers In The Dark,Mumford & Sons,4,2012
White Houses,Eric Burdon & The Animals,6,1968
"White Lies, Blue Eyes",Bullet,5,1972
Who Did You Think I Was,John Mayer Trio,1,2005
Who I Am,Jessica Andrews,20,2001
Who Is It,Michael Jackson,18,1993
Who Will You Run To,Heart,20,1987
Who You Love,John Mayer Featuring Katy Perry,1,2013
Who's Crying Now,Journey,21,1981
Who's Holding Donna Now,Debarge,19,1985
Who's Making Love,Blues Brothers,9,1981
Who's Zoomin' Who,Aretha Franklin,14,1985
Whole Lot Of Shakin' In My Heart (Since I Met You),The Miracles,8,1966
"Whole Wide World (From ""True Love"")",A'me Lorain,20,1990
Why (Doncha Be My Girl),The Chartbusters,2,1964
Why Can't This Night Go On Forever,Journey,12,1987
Why Don't We Just Dance,Josh Turner,5,2009
Why We Thugs,Ice Cube,2,2006
Why,Jason Aldean,20,2006
Wichita Lineman,Glen Campbell,9,1968
Wicked Ruby,Danny Zella and his Zell Rocks,5,1959
Wild Horses,Susan Boyle,1,2009
Wild Night,John Mellencamp With Me'Shell Ndegeocello,10,1995
Wild One,Martha & The Vandellas,4,1964
Wild Wild Life,Talking Heads,4,1987
Will You Be There (In The Morning),Heart,1,1993
Wind It Up,Gwen Stefani,11,2007
Wink,Neal McCoy,4,1994
Wired For Sound,Cliff Richard,4,1981
Wish I Didn't Miss You,Angie Stone,19,2002
Wishing You Were Here,Chicago,11,1974
With Pen In Hand,Bobby Goldsboro,5,1972
With Them,Young Thug,1,2016
With You All The Way,New Edition,11,1986
With You Tonight / Hasta El Amanecer,Nicky Jam,19,2016
Without Me,Halsey,25,2019
Without You,Keith Urban,18,2011
Woman To Woman,Barbara Mandrell,5,1978
Womanizer,Britney Spears,11,2008
Wonderful,Blackwell,2,1969
Wonderland By Night,Bert Kaempfert And His Orchestra,8,1960
Woodstock,Matthews' Southern Comfort,16,1971
Work Out,J. Cole,16,2011
Work That,Mary J. Blige,6,2008
Working For The Weekend,Loverboy,7,1981
Wrapped,George Strait,16,2007
Wrong Baby Wrong,Martina McBride,15,2010
XanaX Damage,Future,1,2019
XO TOUR Llif3,Lil Uzi Vert,34,2017
Y.M.C.A.,Village People,15,1979
Yakety Axe,Chet Atkins,2,1965
Years,Wayne Newton,13,1980
Yellow Bird,Lawrence Welk And His Orchestra,5,1961
"Yes, I'm Lonesome Tonight",Dodie Stevens,1,1960
Yesterday's Dreams,Four Tops,6,1968
Yo-Yo,The Osmonds,13,1971
Walk -- Don't Run,The Ventures,18,1960
Walk Away Renee,Southside Johnny & The Jukes,5,1986
Walk Away,Matt Monro,4,1965
Walk On The Ocean,Toad The Wet Sprocket,7,1992
Walk Slow,Little Willie John,2,1961
Most Girls,P!nk,21,2000
Last Dance,Donna Summer,21,1978
Love Potion Number Nine,The Searchers,9,1965
Junior's Farm/Sally G,Paul McCartney And Wings,9,1975
My Ding-A-Ling,Chuck Berry,17,1972
Dust In The Wind,Kansas,20,1978
North To Alaska,Johnny Horton,16,1960
Morning Side Of The Mountain,Donny & Marie Osmond,9,1975
I've Got Love On My Mind,Natalie Cole,21,1977
Foolish Games/You Were Meant For Me,Jewel,52,1997
How Long,Ace,16,1975
How's It Going To Be,Third Eye Blind,48,1998
I Feel Love,Donna Summer,22,1977
I Made It Through The Rain,Barry Manilow,10,1981
I Believe,Blessid Union Of Souls,31,1995
I Want To Be Your Man,Roger,14,1988
Mysterious Ways,U2,14,1992
Get On Up,The Esquires,15,1967
Lotta Love,Nicolette Larson,13,1979
Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,9,1975
Good Girls Don't,The Knack,16,1979
Foolish Little Girl,The Shirelles,14,1963
Freedom,George Michael,6,1991
More Today Than Yesterday,Spiral Starecase,15,1969
Every Girl,Young Money,20,2009
Goldfinger,Shirley Bassey,13,1965
Make You Sweat,Keith Sweat,21,1990
Midnight Mary,Joey Powers,5,1964
Enjoy Yourself,The Jacksons,14,1977
Here Comes That Rainy Day Feeling Again,The Fortunes,14,1971
No Myth,Michael Penn,16,1990
"Hey, Western Union Man",Jerry Butler,13,1968
Love Hurts,Nazareth,17,1976
In My Little Corner Of The World,Anita Bryant,14,1960
Family Portrait,P!nk,13,2003
Get It Right Next Time,Gerry Rafferty,13,1979
Look For A Star,Billy Vaughn And His Orchestra,12,1960
Janie's Got A Gun,Aerosmith,6,1989
It's My Turn,Diana Ross,10,1980
Hot Smoke & Sasafrass,The Bubble Puppy,12,1969
Flowers On The Wall,The Statler Brothers,7,1965
Enjoy Yourself,The Jacksons,7,1976
How Am I Supposed To Live Without You,Michael Bolton,10,1989
Eighteen,Alice Cooper,13,1971
Free Man In Paris,Joni Mitchell,14,1974
Medicine Man (Part I),Buchanan Brothers,11,1969
Evil Woman,Electric Light Orchestra,7,1975
It May Be Winter Outside (But In My Heart It's Spring),Felice Taylor,6,1967
I Don't Know Why,The Rolling Stones,6,1975
I'm Different,2 Chainz,5,2012
My Last Date (With You),Joni James,4,1961
My Marie,Engelbert Humperdinck,8,1970
Okefenokee,Freddie Cannon,9,1959
International Harvester,Craig Morgan,3,2007
Happy,Hog Heaven,2,1971
Krazy,Blackgirl,3,1994
I Don't Mind,Immature,2,1995
Learning How To Bend,Gary Allan,4,2008
My House,Flo Rida,5,2015
For Your Precious Love,Jerry Butler,2,1966
Galveston,Roger Williams,2,1969
No Tellin',Drake,2,2015
Loaded,Ricky Martin,2,2001
I Was Wondering,The Poppy Family,2,1971
I.O.U.,Jimmy Dean,4,1976
Mamacita,Public Announcement,6,2001
Livin' On A Prayer,Bon Jovi,3,1986
Baker Street,Gerry Rafferty,20,1978
Crystal Blue Persuasion,Tommy James And The Shondells,15,1969
All Around The World,Lisa Stansfield,22,1990
Centerfold,The J. Geils Band,17,1982
BedRock,Young Money Featuring Lloyd,22,2010
Sunshine,Jonathan Edwards,9,1972
Chain Gang,Sam Cooke,16,1960
Black Widow,Iggy Azalea Featuring Rita Ora,24,2014
Only The Lonely (Know How I Feel),Roy Orbison,21,1960
"Betcha By Golly, Wow","The Stylistics Featuring Russell Thompkins,Jr.",16,1972
All The Small Things,Blink-182,19,2000
Cooler Than Me,Mike Posner,29,2010
California Dreamin',The Mamas & The Papas,17,1966
50 Ways To Leave Your Lover,Paul Simon,15,1976
96 Tears,? (Question Mark) & The Mysterians,15,1966
The Big Hurt,Miss Toni Fisher,10,1960
Cherry Bomb,John Mellencamp,11,1988
Suspicion,Terry Stafford,15,1964
Bring It All To Me,Blaque,19,2000
Take Me Home Tonight,Eddie Money,20,1986
Baby It's You,Smith,15,1969
All I Ever Need Is You,Sonny & Cher,4,1972
Cool Change,Little River Band,7,1980
Strangers In The Night,Frank Sinatra,15,1966
She's A Fool,Lesley Gore,14,1963
Paper Roses,Marie Osmond,16,1973
The All American Boy,Bill Parsons,14,1959
Can't Help But Wait,Trey Songz,13,2007
"Shy Guy (From ""Bad Boys"")",Diana King,29,1995
Beginnings/Colour My World,Chicago,13,1971
Put That Woman First,Jaheim,20,2003
Breathe,Faith Hill,45,2000
Pop That Thang,The Isley Brothers,15,1972
2 On,Tinashe Featuring ScHoolboy Q,24,2014
Steppin' Out,Joe Jackson,19,1982
Almost Persuaded,David Houston,15,1966
Sukiyaki,4PM,16,1994
The Breakup Song (They Don't Write 'Em),Greg Kihn Band,23,1981
Ask Me What You Want,Millie Jackson,14,1972
Classic,MKTO,27,2014
Beautiful Sunday,Daniel Boone,20,1972
That'd Be Alright,Alan Jackson,20,2003
Cloud Nine,The Temptations,5,1969
She's My Kind Of Rain,Tim McGraw,20,2003
All The Way Up,"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",20,2016
Some Kind Of Friend,Barry Manilow,16,1983
Cold Sweat - Part 1,James Brown And The Famous Flames,12,1967
Forever,Little Steven,1,1982
Let Me In,Eddie Money,7,1989
"I Love New York / New York, New York",Glee Cast,1,2011
Love This Life,T.I.,1,2012
OMG,Camila Cabello Featuring Quavo,1,2017
Love Ain't,Eli Young Band,9,2019
Like I Love You,Edd Byrnes and Friend,9,1959
My Memories Of You,Donnie and The Dreamers,3,1961
Hi Heel Sneakers - Pt. 1,Ramsey Lewis Trio,5,1966
Everyday,John Denver,3,1972
Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,4,1972
Mr. D.J. (5 For The D.J.),Aretha Franklin,5,1975
Let Me Love You Once,Greg Lake,6,1981
Drug Addicts,Lil Pump,1,2018
Goldfinger,John Barry and His Orchestra,3,1965
Hard Times,Boz Scaggs,6,1977
Music Sounds Better With You,Stardust,8,1998
Hero/Heroine,Boys Like Girls,2,2007
Love Is On Its Way,Jonas Brothers,1,2009
Make It Rain,Koryn Hawthorne,1,2015
Not On The Outside,The Moments,1,1968
Grandmother's Song,Steve Martin,3,1977
Ewok Celebration,Meco,8,1983
Hunters Of The Night,Mr. Mister,8,1984
Gotta Give A Little Love (Ten Years Later),Timmy Thomas,3,1984
Everyday,Ariana Grande Featuring Future,7,2017
Humility,Gorillaz Featuring George Benson,1,2018
For Mama (La Mamma),Connie Francis,6,1965
"God Knows/Baby, I'm Yours",Debby Boone,7,1978
Easy Driver,Kenny Loggins,5,1978
He Can't Love You,Michael Stanley Band,6,1980
Gloria,The Doors,5,1983
For A Little While,Tim McGraw,4,1998
Jerika,Jake Paul & Erika Costell Featuring Uncle Kade,1,2017
Jealousy,Kitty Wells,2,1958
Hello It's Me,Nazz,7,1969
Is That The Way,Tin Tin,6,1971
I'll Come Running,Livingston Taylor,4,1979
Here I Go (Fallin' In Love Again),Frannie Golde,3,1979
Five Feet High And Rising,Johnny Cash,3,1959
Just Got To Know,Jimmy McCracklin,4,1961
It's A Man Down There,G.L. Crockett,6,1965
Gudbuy T' Jane,Slade,6,1973
Here She Comes,Bonnie Tyler,5,1984
In And Out Of Love,Bon Jovi,6,1985
Learning To Fly,Pink Floyd,8,1987
Merry Go 'round,Kacey Musgraves,1,2012
I'll Be Seeing You,Poni-Tails,3,1959
Down The Street To 301,Johnny Cash And The Tennessee Two,3,1960
My Coloring Book,Kitty Kallen,2,1962
It Ain't No Use,Major Lance,8,1964
Give Me Time,Dusty Springfield,4,1967
Farther On Down The Road,Joe Simon,8,1970
I'm Still Waiting,Diana Ross,5,1971
Let Me Down Easy,Roger Daltrey,1,1985
Hero Of The Day,Metallica,8,1996
Friends,John Michael Montgomery,1,1996
Nothing Goes Up (Without Coming Down),Nat King Cole,3,1963
Georgia On My Mind,The Righteous Brothers,5,1966
My Babe,Ronnie Dove,6,1967
Jumbo,Bee Gees,6,1968
Gimme Some Lovin'-Pt. 1,"Traffic, Etc.",7,1971
My Boy,Richard Harris,6,1971
I Will Never Pass This Way Again,Glen Campbell,7,1972
"Good Times, Rock & Roll",Flash Cadillac And The Continental Kids,8,1975
Jam Band,Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,3,1975
I'll Always Call Your Name,Little River Band,5,1977
From Graceland To The Promised Land,Merle Haggard,9,1977
